Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,Chrome 95.0.4638.54,,,2021-11-01 19:19:37,2021-11-01 19:19:58,"20,832s",PASSED
,,,,,,,
Test Cases/Authentification password invalide,Chrome 95.0.4638.54,,,2021-11-01 19:19:43,2021-11-01 19:19:48,"5,420s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:19:43,2021-11-01 19:19:43,"0,037s",PASSED
"callTestCase(findTestCase(""Scenario Authentification""), [""password"":""admina"", ""username"":""admin""], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-11-01 19:19:43,2021-11-01 19:19:47,"3,731s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 300))",Chrome 95.0.4638.54,,,2021-11-01 19:19:47,2021-11-01 19:19:48,"0,854s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:19:48,2021-11-01 19:19:48,"0,005s",PASSED
,,,,,,,
Test Cases/Authentification username valide et password valide,Chrome 95.0.4638.54,,,2021-11-01 19:19:48,2021-11-01 19:19:53,"5,221s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:19:48,2021-11-01 19:19:48,"0,003s",PASSED
"callTestCase(findTestCase(""Scenario Authentification""), [""password"":""admin"", ""username"":""admin""], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-11-01 19:19:49,2021-11-01 19:19:52,"3,063s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 300))",Chrome 95.0.4638.54,,,2021-11-01 19:19:52,2021-11-01 19:19:53,"1,438s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:19:53,2021-11-01 19:19:53,"0,003s",PASSED
,,,,,,,
Test Cases/Authentification username invalide,Chrome 95.0.4638.54,,,2021-11-01 19:19:53,2021-11-01 19:19:58,"4,238s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:19:53,2021-11-01 19:19:53,"0,011s",PASSED
"callTestCase(findTestCase(""Scenario Authentification""), [""password"":""admin"", ""username"":""admina""], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-11-01 19:19:54,2021-11-01 19:19:57,"2,780s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 300))",Chrome 95.0.4638.54,,,2021-11-01 19:19:57,2021-11-01 19:19:58,"0,820s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:19:58,2021-11-01 19:19:58,"0,001s",PASSED
