Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,Firefox 93.0,,,2021-11-01 22:37:13,2021-11-01 22:38:15,"1m - 2,347s",FAILED
,,,,,,,
Test Cases/TestDataDrivenLogin,Firefox 93.0,,,2021-11-01 22:37:29,2021-11-01 22:37:46,"17,074s",PASSED
Start listener action : sampleBeforeTestCase,Firefox 93.0,,,2021-11-01 22:37:29,2021-11-01 22:37:29,"0,038s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Firefox 93.0,,,2021-11-01 22:37:30,2021-11-01 22:37:31,"0,535s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Firefox 93.0,,,2021-11-01 22:37:31,2021-11-01 22:37:32,"0,764s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Firefox 93.0,,,2021-11-01 22:37:32,2021-11-01 22:37:32,"0,705s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Firefox 93.0,,,2021-11-01 22:37:32,2021-11-01 22:37:33,"1,087s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Firefox 93.0,,,2021-11-01 22:37:33,2021-11-01 22:37:35,"1,378s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 10, OPTIONAL))",Firefox 93.0,,,2021-11-01 22:37:35,2021-11-01 22:37:46,"11,339s",PASSED
Start listener action : sampleAfterTestCase,Firefox 93.0,,,2021-11-01 22:37:46,2021-11-01 22:37:46,"0,012s",PASSED
,,,,,,,
Test Cases/TestDataDrivenLogin,Firefox 93.0,,,2021-11-01 22:37:46,2021-11-01 22:38:01,"14,515s",FAILED
Start listener action : sampleBeforeTestCase,Firefox 93.0,,,2021-11-01 22:37:46,2021-11-01 22:37:46,"0,002s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Firefox 93.0,,,2021-11-01 22:37:46,2021-11-01 22:37:47,"0,387s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Firefox 93.0,,,2021-11-01 22:37:47,2021-11-01 22:37:47,"0,669s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Firefox 93.0,,,2021-11-01 22:37:47,2021-11-01 22:37:48,"0,659s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Firefox 93.0,,,2021-11-01 22:37:48,2021-11-01 22:37:49,"0,532s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Firefox 93.0,,,2021-11-01 22:37:49,2021-11-01 22:38:00,"11,383s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 10, OPTIONAL))",Firefox 93.0,,,2021-11-01 22:38:00,2021-11-01 22:38:01,"0,778s",PASSED
Start listener action : sampleAfterTestCase,Firefox 93.0,,,2021-11-01 22:38:01,2021-11-01 22:38:01,"0,002s",PASSED
,,,,,,,
Test Cases/TestDataDrivenLogin,Firefox 93.0,,,2021-11-01 22:38:01,2021-11-01 22:38:15,"14,393s",PASSED
Start listener action : sampleBeforeTestCase,Firefox 93.0,,,2021-11-01 22:38:01,2021-11-01 22:38:01,"0,004s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Firefox 93.0,,,2021-11-01 22:38:01,2021-11-01 22:38:01,"0,404s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Firefox 93.0,,,2021-11-01 22:38:01,2021-11-01 22:38:02,"0,685s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Firefox 93.0,,,2021-11-01 22:38:02,2021-11-01 22:38:03,"0,661s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Firefox 93.0,,,2021-11-01 22:38:03,2021-11-01 22:38:03,"0,530s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Firefox 93.0,,,2021-11-01 22:38:03,2021-11-01 22:38:14,"11,328s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 10, OPTIONAL))",Firefox 93.0,,,2021-11-01 22:38:14,2021-11-01 22:38:15,"0,740s",PASSED
Start listener action : sampleAfterTestCase,Firefox 93.0,,,2021-11-01 22:38:15,2021-11-01 22:38:15,"0,001s",PASSED
