Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,Chrome 95.0.4638.54,,,2021-11-01 22:22:40,2021-11-01 22:24:17,"1m - 36,835s",FAILED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 22:22:46,2021-11-01 22:23:03,"17,047s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:22:46,2021-11-01 22:22:46,"0,042s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Chrome 95.0.4638.54,,,2021-11-01 22:22:47,2021-11-01 22:22:48,"0,558s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Chrome 95.0.4638.54,,,2021-11-01 22:22:48,2021-11-01 22:22:49,"0,826s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Chrome 95.0.4638.54,,,2021-11-01 22:22:49,2021-11-01 22:22:49,"0,780s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Chrome 95.0.4638.54,,,2021-11-01 22:22:49,2021-11-01 22:22:50,"0,900s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:22:50,2021-11-01 22:22:52,"1,364s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:22:52,2021-11-01 22:23:03,"11,498s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:23:03,2021-11-01 22:23:03,"0,006s",PASSED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 22:23:48,2021-11-01 22:24:02,"14,844s",FAILED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:23:48,2021-11-01 22:23:48,"0,005s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Chrome 95.0.4638.54,,,2021-11-01 22:23:48,2021-11-01 22:23:48,"0,456s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Chrome 95.0.4638.54,,,2021-11-01 22:23:48,2021-11-01 22:23:49,"0,757s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Chrome 95.0.4638.54,,,2021-11-01 22:23:49,2021-11-01 22:23:50,"0,808s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Chrome 95.0.4638.54,,,2021-11-01 22:23:50,2021-11-01 22:23:50,"0,617s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:23:50,2021-11-01 22:24:02,"11,295s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:24:02,2021-11-01 22:24:02,"0,867s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:24:02,2021-11-01 22:24:02,"0,002s",PASSED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 22:24:03,2021-11-01 22:24:17,"14,721s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:24:03,2021-11-01 22:24:03,"0,002s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Chrome 95.0.4638.54,,,2021-11-01 22:24:03,2021-11-01 22:24:03,"0,389s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Chrome 95.0.4638.54,,,2021-11-01 22:24:03,2021-11-01 22:24:04,"0,716s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Chrome 95.0.4638.54,,,2021-11-01 22:24:04,2021-11-01 22:24:05,"0,831s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Chrome 95.0.4638.54,,,2021-11-01 22:24:05,2021-11-01 22:24:05,"0,630s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:24:05,2021-11-01 22:24:16,"11,258s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:24:16,2021-11-01 22:24:17,"0,846s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:24:17,2021-11-01 22:24:17,"0,002s",PASSED
