Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,Chrome 95.0.4638.54,,,2021-11-01 22:37:12,2021-11-01 22:38:11,"58,774s",FAILED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 22:37:22,2021-11-01 22:37:41,"19,545s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:37:22,2021-11-01 22:37:22,"0,139s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Chrome 95.0.4638.54,,,2021-11-01 22:37:23,2021-11-01 22:37:24,"0,805s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Chrome 95.0.4638.54,,,2021-11-01 22:37:24,2021-11-01 22:37:25,"1,241s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Chrome 95.0.4638.54,,,2021-11-01 22:37:25,2021-11-01 22:37:27,"1,636s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Chrome 95.0.4638.54,,,2021-11-01 22:37:27,2021-11-01 22:37:28,"1,332s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:37:28,2021-11-01 22:37:30,"1,760s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:37:30,2021-11-01 22:37:41,"11,365s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:37:41,2021-11-01 22:37:41,"0,010s",PASSED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 22:37:41,2021-11-01 22:37:56,"14,910s",FAILED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:37:42,2021-11-01 22:37:42,"0,005s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Chrome 95.0.4638.54,,,2021-11-01 22:37:42,2021-11-01 22:37:42,"0,470s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Chrome 95.0.4638.54,,,2021-11-01 22:37:42,2021-11-01 22:37:43,"0,771s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Chrome 95.0.4638.54,,,2021-11-01 22:37:43,2021-11-01 22:37:44,"0,735s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Chrome 95.0.4638.54,,,2021-11-01 22:37:44,2021-11-01 22:37:44,"0,588s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:37:44,2021-11-01 22:37:55,"11,280s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:37:55,2021-11-01 22:37:56,"0,856s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:37:56,2021-11-01 22:37:56,"0,001s",PASSED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 22:37:56,2021-11-01 22:38:11,"14,737s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:37:56,2021-11-01 22:37:56,"0,005s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Chrome 95.0.4638.54,,,2021-11-01 22:37:56,2021-11-01 22:37:57,"0,403s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Chrome 95.0.4638.54,,,2021-11-01 22:37:57,2021-11-01 22:37:58,"0,743s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Chrome 95.0.4638.54,,,2021-11-01 22:37:58,2021-11-01 22:37:58,"0,816s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Chrome 95.0.4638.54,,,2021-11-01 22:37:58,2021-11-01 22:37:59,"0,525s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:37:59,2021-11-01 22:38:10,"11,390s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 22:38:10,2021-11-01 22:38:11,"0,795s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 22:38:11,2021-11-01 22:38:11,"0,003s",PASSED
