Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,Chrome 95.0.4638.54,,,2021-11-01 19:56:44,2021-11-01 19:57:01,"17,246s",ERROR
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 19:56:54,2021-11-01 19:56:55,"0,715s",ERROR
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:56:54,2021-11-01 19:56:54,"0,006s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:56:55,2021-11-01 19:56:55,"0,002s",PASSED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 19:56:57,2021-11-01 19:56:58,"0,856s",ERROR
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:56:57,2021-11-01 19:56:57,"0,007s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:56:58,2021-11-01 19:56:58,"0,000s",PASSED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 19:57:00,2021-11-01 19:57:01,"0,769s",ERROR
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:57:00,2021-11-01 19:57:00,"0,008s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 19:57:01,2021-11-01 19:57:01,"0,001s",PASSED
