Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,Chrome 95.0.4638.69,,,2021-11-03 10:32:50,2021-11-03 10:33:11,"21,074s",FAILED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.69,,,2021-11-03 10:32:51,2021-11-03 10:33:01,"10,039s",FAILED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.69,,,2021-11-03 10:32:51,2021-11-03 10:32:51,"0,089s",PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-11-03 10:32:52,2021-11-03 10:32:56,"4,117s",PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-03 10:32:56,2021-11-03 10:32:57,"0,206s",PASSED
"navigateToUrl(""http://ats.faimerecruiter.com/"")",Chrome 95.0.4638.69,,,2021-11-03 10:32:57,2021-11-03 10:32:57,"0,746s",PASSED
ObjUsername = new com.kms.katalon.core.testobject.TestObject(username),Chrome 95.0.4638.69,,,2021-11-03 10:32:57,2021-11-03 10:32:57,"0,022s",PASSED
ObjPassword = new com.kms.katalon.core.testobject.TestObject(password),Chrome 95.0.4638.69,,,2021-11-03 10:32:57,2021-11-03 10:32:57,"0,003s",PASSED
ObjValider = new com.kms.katalon.core.testobject.TestObject(valider),Chrome 95.0.4638.69,,,2021-11-03 10:32:57,2021-11-03 10:32:57,"0,002s",PASSED
ObjLogout = new com.kms.katalon.core.testobject.TestObject(Logout),Chrome 95.0.4638.69,,,2021-11-03 10:32:57,2021-11-03 10:32:57,"0,001s",PASSED
ObjMsgErr = new com.kms.katalon.core.testobject.TestObject(MsgErr),Chrome 95.0.4638.69,,,2021-11-03 10:32:57,2021-11-03 10:32:57,"0,004s",PASSED
"ObjUsername.addProperty(""xpath"", EQUALS, ""//input[@id='username']"")",Chrome 95.0.4638.69,,,2021-11-03 10:32:57,2021-11-03 10:32:57,"0,045s",PASSED
"ObjPassword.addProperty(""xpath"", EQUALS, ""//input[@id='password']"")",Chrome 95.0.4638.69,,,2021-11-03 10:32:57,2021-11-03 10:32:57,"0,002s",PASSED
"ObjValider.addProperty(""xpath"", EQUALS, ""//input[@value='Login']"")",Chrome 95.0.4638.69,,,2021-11-03 10:32:57,2021-11-03 10:32:57,"0,005s",PASSED
"ObjLogout.addProperty(""xpath"", EQUALS, ""//a[contains(text(),'Logout')]"")",Chrome 95.0.4638.69,,,2021-11-03 10:32:57,2021-11-03 10:32:57,"0,009s",PASSED
