Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,,,,2021-11-03 13:47:15,2021-11-03 13:47:20,"5,238s",FAILED
,,,,,,,
Test Cases/TestDataDrivenLogin,,,,2021-11-03 13:47:16,2021-11-03 13:47:19,"2,233s",FAILED
Start listener action : sampleBeforeTestCase,,,,2021-11-03 13:47:16,2021-11-03 13:47:16,"0,023s",PASSED
ObjUsername = new com.kms.katalon.core.testobject.TestObject(username),,,,2021-11-03 13:47:17,2021-11-03 13:47:17,"0,022s",PASSED
ObjPassword = new com.kms.katalon.core.testobject.TestObject(password),,,,2021-11-03 13:47:17,2021-11-03 13:47:17,"0,003s",PASSED
ObjValider = new com.kms.katalon.core.testobject.TestObject(valider),,,,2021-11-03 13:47:17,2021-11-03 13:47:17,"0,002s",PASSED
ObjLogout = new com.kms.katalon.core.testobject.TestObject(Logout),,,,2021-11-03 13:47:17,2021-11-03 13:47:17,"0,003s",PASSED
ObjMsgErr = new com.kms.katalon.core.testobject.TestObject(MsgErr),,,,2021-11-03 13:47:17,2021-11-03 13:47:17,"0,001s",PASSED
"ObjUsername.addProperty(""xpath"", EQUALS, ""//input[@id='username']"")",,,,2021-11-03 13:47:17,2021-11-03 13:47:17,"0,023s",PASSED
"ObjPassword.addProperty(""xpath"", EQUALS, ""//input[@id='password']"")",,,,2021-11-03 13:47:17,2021-11-03 13:47:17,"0,002s",PASSED
"ObjValider.addProperty(""xpath"", EQUALS, ""//input[@value='Login']"")",,,,2021-11-03 13:47:17,2021-11-03 13:47:17,"0,002s",PASSED
"ObjLogout.addProperty(""xpath"", EQUALS, ""//a[contains(text(),'Logout')]"")",,,,2021-11-03 13:47:17,2021-11-03 13:47:17,"0,002s",PASSED
"ObjMsgErr.addProperty(""xpath"", EQUALS, ""//p[@class=""failure""]"")",,,,2021-11-03 13:47:17,2021-11-03 13:47:17,"0,005s",PASSED
"waitForElementPresent(ObjUsername, 300)",,,,2021-11-03 13:47:17,2021-11-03 13:47:18,"0,783s",FAILED
