Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,Chrome 95.0.4638.54,,,2021-11-01 18:23:57,2021-11-01 18:24:21,"24,548s",PASSED
,,,,,,,
Test Cases/Authentification username invalide,Chrome 95.0.4638.54,,,2021-11-01 18:23:57,2021-11-01 18:24:07,"9,321s",PASSED
"callTestCase(findTestCase(""Scenario Authentification""), [""password"":""admin"", ""username"":""admina""], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-11-01 18:23:58,2021-11-01 18:24:07,"8,653s",PASSED
,,,,,,,
Test Cases/Authentification password invalide,Chrome 95.0.4638.54,,,2021-11-01 18:24:07,2021-11-01 18:24:14,"6,796s",PASSED
"callTestCase(findTestCase(""Scenario Authentification""), [""password"":""admina"", ""username"":""admin""], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-11-01 18:24:07,2021-11-01 18:24:14,"6,089s",PASSED
,,,,,,,
Test Cases/Authentification username valide et password valide,Chrome 95.0.4638.54,,,2021-11-01 18:24:14,2021-11-01 18:24:21,"7,882s",PASSED
"callTestCase(findTestCase(""Scenario Authentification""), [""password"":""admin"", ""username"":""admin""], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-11-01 18:24:14,2021-11-01 18:24:20,"5,971s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 300))",Chrome 95.0.4638.54,,,2021-11-01 18:24:20,2021-11-01 18:24:21,"1,296s",PASSED
