Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,Chrome 95.0.4638.69,,,2021-11-03 13:56:18,2021-11-03 13:57:40,"1m - 21,614s",FAILED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:31,"5,110s",FAILED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,022s",PASSED
ObjUsername = new com.kms.katalon.core.testobject.TestObject(username),Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,010s",PASSED
ObjPassword = new com.kms.katalon.core.testobject.TestObject(password),Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,002s",PASSED
ObjValider = new com.kms.katalon.core.testobject.TestObject(valider),Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,002s",PASSED
ObjLogout = new com.kms.katalon.core.testobject.TestObject(Logout),Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,001s",PASSED
ObjMsgErr = new com.kms.katalon.core.testobject.TestObject(MsgErr),Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,001s",PASSED
"ObjUsername.addProperty(""xpath"", EQUALS, ""//input[@id='username']"")",Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,015s",PASSED
"ObjPassword.addProperty(""xpath"", EQUALS, ""//input[@id='password']"")",Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,002s",PASSED
"ObjValider.addProperty(""xpath"", EQUALS, ""//input[@value='Login']"")",Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,002s",PASSED
"ObjLogout.addProperty(""xpath"", EQUALS, ""//a[contains(text(),'Logout')]"")",Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,003s",PASSED
"ObjMsgErr.addProperty(""xpath"", EQUALS, ""//p[@class=""failure""]"")",Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:26,"0,003s",PASSED
"waitForElementPresent(ObjUsername, 300)",Chrome 95.0.4638.69,,,2021-11-03 13:56:26,2021-11-03 13:56:27,"0,328s",PASSED
"setText(ObjUsername, username)",Chrome 95.0.4638.69,,,2021-11-03 13:56:27,2021-11-03 13:56:27,"0,734s",PASSED
"setText(ObjPassword, password)",Chrome 95.0.4638.69,,,2021-11-03 13:56:27,2021-11-03 13:56:28,"0,697s",PASSED
click(ObjValider),Chrome 95.0.4638.69,,,2021-11-03 13:56:28,2021-11-03 13:56:29,"0,966s",PASSED
