Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,Chrome 95.0.4638.54,,,2021-11-01 21:35:11,2021-11-01 21:36:36,"1m - 25,151s",ERROR
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 21:35:34,2021-11-01 21:35:39,"4,879s",ERROR
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 21:35:34,2021-11-01 21:35:34,"0,008s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Chrome 95.0.4638.54,,,2021-11-01 21:35:34,2021-11-01 21:35:34,"0,419s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Chrome 95.0.4638.54,,,2021-11-01 21:35:34,2021-11-01 21:35:35,"0,816s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Chrome 95.0.4638.54,,,2021-11-01 21:35:35,2021-11-01 21:35:36,"0,914s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Chrome 95.0.4638.54,,,2021-11-01 21:35:36,2021-11-01 21:35:37,"1,077s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 21:35:37,2021-11-01 21:35:39,"1,625s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 21:35:39,2021-11-01 21:35:39,"0,000s",PASSED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 21:36:25,2021-11-01 21:36:36,"10,998s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 21:36:25,2021-11-01 21:36:25,"0,000s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Chrome 95.0.4638.54,,,2021-11-01 21:36:25,2021-11-01 21:36:25,"0,416s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Username_username""), username)",Chrome 95.0.4638.54,,,2021-11-01 21:36:25,2021-11-01 21:36:26,"0,806s",PASSED
"setText(findTestObject(""Page_opencats - Login/input_Password_password""), password)",Chrome 95.0.4638.54,,,2021-11-01 21:36:26,2021-11-01 21:36:27,"0,974s",PASSED
"click(findTestObject(""Page_opencats - Login/input_Password_button""))",Chrome 95.0.4638.54,,,2021-11-01 21:36:27,2021-11-01 21:36:28,"0,789s",PASSED
"if (verifyElementPresent(findTestObject(""Page_FaimeRecruiter - Home/a_Logout""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 21:36:28,2021-11-01 21:36:35,"7,786s",PASSED
"if (verifyElementPresent(findTestObject(""Page_opencats - Login/p_Invalid username or password""), 10, OPTIONAL))",Chrome 95.0.4638.54,,,2021-11-01 21:36:35,2021-11-01 21:36:36,"0,202s",PASSED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 21:36:36,2021-11-01 21:36:36,"0,000s",PASSED
,,,,,,,
Test Cases/TestDataDrivenLogin,Chrome 95.0.4638.54,,,2021-11-01 21:36:36,2021-11-01 21:36:36,"0,149s",FAILED
Start listener action : sampleBeforeTestCase,Chrome 95.0.4638.54,,,2021-11-01 21:36:36,2021-11-01 21:36:36,"0,000s",PASSED
"verifyElementPresent(findTestObject(""Page_opencats - Login/input_Username_username""), 300)",Chrome 95.0.4638.54,,,2021-11-01 21:36:36,2021-11-01 21:36:36,"0,133s",FAILED
Start listener action : sampleAfterTestCase,Chrome 95.0.4638.54,,,2021-11-01 21:36:36,2021-11-01 21:36:36,"0,008s",PASSED
